,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
2263,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2022,37.9,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2264,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2021,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2265,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2020,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2266,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2019,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2267,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2018,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2268,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2017,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2269,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2016,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2270,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2025,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2271,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2024,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2272,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2023,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2273,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2022,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2274,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2021,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2275,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2020,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2276,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2019,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2277,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2018,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2278,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2017,,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
2279,SS,South Sudan,Poverty headcount ratio at national poverty lines (% of population),2016,82.3,Sub-Saharan Africa ,Low income,IDA,31.6,4.85
