,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
51,V2,Early-demographic dividend,Exports of goods and services (current US$),2024,3978583852956.12,Aggregates,Aggregates,Aggregates,,
52,V2,Early-demographic dividend,Exports of goods and services (current US$),2023,3863383843212.38,Aggregates,Aggregates,Aggregates,,
53,V2,Early-demographic dividend,Exports of goods and services (current US$),2022,3986345966802.91,Aggregates,Aggregates,Aggregates,,
54,V2,Early-demographic dividend,Exports of goods and services (current US$),2021,3254070704862.9,Aggregates,Aggregates,Aggregates,,
55,V2,Early-demographic dividend,Exports of goods and services (current US$),2020,2425865761878.0,Aggregates,Aggregates,Aggregates,,
56,V2,Early-demographic dividend,Exports of goods and services (current US$),2019,2916787616108.96,Aggregates,Aggregates,Aggregates,,
57,V2,Early-demographic dividend,Exports of goods and services (current US$),2018,2989960297412.38,Aggregates,Aggregates,Aggregates,,
58,V2,Early-demographic dividend,Exports of goods and services (current US$),2017,2690660794123.95,Aggregates,Aggregates,Aggregates,,
59,V2,Early-demographic dividend,Exports of goods and services (current US$),2016,2382700063974.47,Aggregates,Aggregates,Aggregates,,
60,Z4,East Asia & Pacific,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
61,Z4,East Asia & Pacific,Exports of goods and services (current US$),2024,9913974194654.66,Aggregates,Aggregates,Aggregates,,
62,Z4,East Asia & Pacific,Exports of goods and services (current US$),2023,9309336051781.31,Aggregates,Aggregates,Aggregates,,
63,Z4,East Asia & Pacific,Exports of goods and services (current US$),2022,9698595556200.46,Aggregates,Aggregates,Aggregates,,
64,Z4,East Asia & Pacific,Exports of goods and services (current US$),2021,9051084565466.21,Aggregates,Aggregates,Aggregates,,
65,Z4,East Asia & Pacific,Exports of goods and services (current US$),2020,7229635520462.3,Aggregates,Aggregates,Aggregates,,
66,Z4,East Asia & Pacific,Exports of goods and services (current US$),2019,7542519927499.17,Aggregates,Aggregates,Aggregates,,
67,Z4,East Asia & Pacific,Exports of goods and services (current US$),2018,7706572168649.11,Aggregates,Aggregates,Aggregates,,
68,Z4,East Asia & Pacific,Exports of goods and services (current US$),2017,7095510535773.31,Aggregates,Aggregates,Aggregates,,
69,Z4,East Asia & Pacific,Exports of goods and services (current US$),2016,6412887123971.02,Aggregates,Aggregates,Aggregates,,
